date,active developers
2010-11-24,1
2010-11-25,1
2010-11-26,1
2010-11-27,1
2010-11-29,1
2010-12-06,1
2010-12-07,1
2010-12-18,1
2010-12-19,1
2010-12-20,1
2010-12-24,1
2010-12-27,1
2010-12-28,1
2010-12-29,1
2011-01-20,1
2011-01-29,1
2011-01-30,1
2011-02-02,1
2011-02-03,1
2011-02-04,1
2011-02-10,1
2011-02-13,1
2011-02-17,1
2011-02-21,1
2011-03-03,1
2011-03-06,1
2011-03-07,2
2011-03-08,1
2011-03-11,1
2011-03-12,1
2011-03-15,1
2011-03-18,1
2011-03-21,1
2011-03-22,1
2011-03-24,1
2011-04-07,1
2011-04-11,2
2011-05-10,2
2011-05-15,1
2011-06-08,1
2011-06-09,2
2011-06-14,2
2011-06-28,1
2011-10-22,1
2011-10-25,1
2011-12-20,1
2011-12-23,1
2012-02-03,1
2012-02-05,1
2012-02-09,1
2012-02-18,3
2012-02-19,1
2012-08-21,1
2012-12-06,1
2013-03-14,2
2013-03-26,2
2013-04-03,2
2013-11-08,1
2013-11-09,1
2013-11-11,1
2013-12-18,1
2013-12-19,1
2013-12-25,1
2013-12-27,1
2014-01-04,1
2014-01-06,4
2014-01-07,3
2014-01-08,5
2014-01-09,4
2014-01-10,6
2014-01-11,1
2014-01-12,1
2014-01-13,6
2014-01-14,6
2014-01-15,6
2014-01-16,7
2014-01-17,7
2014-01-18,1
2014-01-19,2
2014-01-20,7
2014-01-21,8
2014-01-22,8
2014-01-23,4
2014-01-24,3
2014-01-27,4
2014-01-28,3
2014-01-29,4
2014-01-30,4
2014-01-31,4
2014-02-01,1
2014-02-02,1
2014-02-03,3
2014-02-04,3
2014-02-05,4
2014-02-06,4
2014-02-07,3
2014-02-08,1
2014-02-09,3
2014-02-10,6
2014-02-11,7
2014-02-12,7
2014-02-13,6
2014-02-14,8
2014-02-15,1
2014-02-16,2
2014-02-17,3
2014-02-18,6
2014-02-19,5
2014-02-20,4
2014-02-21,4
2014-02-23,3
2014-02-24,3
2014-02-25,6
2014-02-26,4
2014-02-27,2
2014-02-28,4
2014-03-07,2
2014-03-08,2
2014-03-10,3
2014-03-17,1
2014-03-18,1
2014-03-19,1
2014-03-20,3
2014-03-21,1
2014-03-22,1
2014-03-28,1
2014-03-31,1
2014-04-03,3
2014-04-04,1
2014-04-05,1
2014-04-07,2
2014-04-17,2
2014-05-13,2
2014-05-17,2
2014-05-26,3
2014-05-27,2
2014-05-30,4
2014-06-02,2
2014-06-03,2
2014-06-05,2
2014-06-08,2
2014-06-09,2
2014-06-18,2
2014-07-29,2
2014-07-30,2
2014-08-24,1
2014-08-25,1
2014-09-01,2
2014-09-03,1
2014-09-08,1
2014-09-12,2
2014-09-14,1
2014-09-15,1
2014-09-16,1
2014-09-18,1
2014-09-20,1
2014-09-21,1
2014-09-22,1
2014-09-29,2
2014-10-17,1
2014-10-19,1
2014-10-23,1
2014-10-24,1
2014-10-25,1
2014-10-26,3
2014-10-29,1
2014-10-31,1
2014-11-04,1
2014-11-10,2
2014-11-22,1
2014-11-28,1
2014-11-30,1
2014-12-07,1
2014-12-10,1
2014-12-12,1
2014-12-13,1
2014-12-23,1
2014-12-24,2
2014-12-25,1
2014-12-26,1
2014-12-27,1
2014-12-28,1
2014-12-29,1
2014-12-31,1
2015-01-01,1
2015-01-02,1
2015-01-04,1
2015-01-05,1
2015-01-06,1
2015-01-07,1
2015-01-08,1
2015-01-09,1
2015-01-11,1
2015-01-18,1
2015-01-21,1
2015-01-22,1
2015-01-27,1
2015-02-01,2
2015-02-20,1
2015-02-21,1
2015-02-22,1
2015-03-10,1
2015-03-14,1
2015-03-22,1
2015-04-06,1
2015-04-28,1
2015-05-18,1
2015-05-19,2
2015-09-16,2
2015-10-08,1
2015-10-12,1
2015-10-13,2
2015-10-14,1
2015-10-16,1
2015-10-18,2
2015-10-20,1
2015-10-23,1
2015-10-24,1
2015-10-31,1
2016-05-22,1
2016-05-24,1
2016-05-26,1
2016-05-31,1
2016-06-01,1
2016-06-03,1
2016-06-04,1
2016-06-05,1
2016-06-08,1
2016-06-10,1
2016-06-11,2
2016-06-12,1
2016-06-13,1
2016-06-14,1
2016-06-16,1
2016-06-17,2
2016-06-19,2
2016-06-21,1
2016-06-22,1
2016-06-29,1
2017-01-02,1
2017-01-05,2
2017-01-09,1
2017-01-12,1
2017-01-14,1
2017-01-15,2
2017-01-16,1
2017-01-17,1
2017-01-18,1
2017-01-21,1
2017-01-22,1
2017-01-27,1
2017-01-28,2
2017-01-29,1
2017-01-30,1
2017-01-31,1
2017-02-01,2
2017-02-06,1
2017-02-10,2
2017-02-17,1
2017-02-23,1
2017-03-08,1
2017-03-10,1
2017-03-28,1
2017-04-30,1
2017-05-06,1
2017-08-13,1
2017-08-16,1
2017-08-17,1
2017-08-18,3
2017-08-19,1
2017-08-20,1
2017-08-25,1
2017-09-11,1
2017-09-14,1
2017-09-15,1
2017-12-27,2
2017-12-30,1
2018-01-04,1
2018-01-05,1
2018-01-06,1
2018-05-16,1
